iter	Passed	Remaining
0	157	157219
1	356	178142
2	541	180062
3	742	184929
4	926	184331
5	1124	186350
6	1377	195477
7	1579	195807
8	1737	191365
9	1924	190541
10	2079	186940
11	2266	186586
12	2464	187127
13	2629	185173
14	2781	182677
15	2972	182812
16	3164	182953
17	3348	182657
18	3522	181883
19	3703	181462
20	3858	179862
21	4008	178204
22	4204	178597
23	4392	178617
24	4572	178309
25	4755	178146
26	4931	177727
27	5123	177849
28	5302	177553
29	5450	176233
30	5596	174920
31	5740	173663
32	5919	173444
33	6071	172487
34	6214	171349
35	6396	171272
36	6568	170962
37	6757	171072
38	6898	169977
39	7080	169925
40	7272	170113
41	7458	170130
42	7613	169451
43	7812	169733
44	7990	169573
45	8198	170036
46	8383	169985
47	8554	169666
48	8738	169600
49	8893	168975
50	9069	168755
51	9250	168645
52	9438	168654
53	9589	167998
54	9773	167927
55	9950	167743
56	10160	168086
57	10223	166039
58	10409	166017
59	10571	165619
60	10730	165179
61	10858	164284
62	11044	164260
63	11227	164203
64	11388	163823
65	11582	163905
66	11749	163618
67	11930	163511
68	12121	163554
69	12334	163875
70	12521	163833
71	12679	163430
72	12863	163353
73	12952	162077
74	13127	161905
75	13345	162250
76	13449	161225
77	13625	161058
78	13808	160984
79	13997	160975
80	14149	160532
81	14335	160486
82	14530	160533
83	14688	160179
84	14868	160060
85	15042	159874
86	15233	159862
87	15431	159931
88	15625	159945
89	15795	159712
90	15987	159695
91	16176	159651
92	16369	159648
93	16569	159704
94	16733	159410
95	16923	159361
96	17088	159081
97	17274	158992
98	17456	158873
99	17641	158769
100	17772	158197
101	17946	157999
102	18113	157749
103	18260	157320
104	18446	157233
105	18638	157197
106	18818	157058
107	18979	156757
108	19123	156321
109	19325	156358
110	19527	156398
111	19683	156060
112	19846	155787
113	20043	155779
114	20225	155651
115	20424	155645
116	20587	155372
117	20784	155353
118	20977	155306
119	21121	154889
120	21325	154921
121	21511	154810
122	21578	153857
123	21775	153834
124	21966	153766
125	22112	153386
126	22316	153405
127	22495	153253
128	22688	153190
129	22889	153186
130	23066	153014
131	23270	153021
132	23440	152800
133	23639	152771
134	23853	152842
135	23997	152456
136	24158	152180
137	24356	152141
138	24555	152100
139	24741	151981
140	24925	151851
141	25122	151797
142	25310	151684
143	25496	151563
144	25676	151400
145	25878	151370
146	26069	151272
147	26258	151165
148	26465	151153
149	26618	150835
150	26783	150591
151	26962	150422
152	27160	150357
153	27229	149586
154	27386	149301
155	27550	149056
156	27727	148882
157	27905	148711
158	28058	148410
159	28250	148313
160	28433	148174
161	28630	148099
162	28795	147864
163	28985	147757
164	29219	147866
165	29295	147182
166	29478	147037
167	29672	146948
168	29866	146856
169	30033	146633
170	30126	146053
171	30279	145765
172	30486	145737
173	30682	145653
174	30878	145567
175	31072	145475
176	31264	145371
177	31415	145073
178	31559	144752
179	31737	144580
180	31883	144266
181	32062	144104
182	32241	143941
183	32458	143944
184	32621	143709
185	32685	143043
186	32835	142753
187	33022	142628
188	33232	142601
189	33409	142430
190	33593	142290
191	33790	142201
192	33951	141964
193	34119	141755
194	34310	141641
195	34471	141404
196	34663	141294
197	34818	141033
198	34973	140774
199	35156	140627
200	35308	140356
201	35501	140248
202	35685	140104
203	35854	139900
204	36046	139789
205	36250	139722
206	36430	139562
207	36599	139360
208	36858	139499
209	37028	139297
210	37234	139231
211	37388	138971
212	37589	138887
213	37781	138768
214	37939	138525
215	38105	138307
216	38302	138206
217	38474	138013
218	38650	137834
219	38840	137705
220	39007	137495
221	39206	137399
222	39357	137134
223	39500	136840
224	39604	136415
225	39776	136224
226	39962	136085
227	40173	136026
228	40329	135781
229	40514	135635
230	40714	135537
231	40905	135411
232	41067	135188
233	41245	135016
234	41416	134824
235	41606	134692
236	41806	134590
237	41995	134454
238	42181	134308
239	42332	134054
240	42523	133921
241	42726	133830
242	42911	133678
243	43071	133451
244	43260	133312
245	43447	133169
246	43648	133064
247	43816	132861
248	44005	132723
249	44217	132652
250	44399	132492
251	44607	132406
252	44801	132280
253	45007	132188
254	45208	132081
255	45394	131926
256	45550	131688
257	45729	131516
258	45884	131274
259	46095	131194
260	46250	130955
261	46457	130861
262	46632	130678
263	46830	130556
264	47002	130364
265	47186	130206
266	47360	130018
267	47553	129883
268	47737	129724
269	47934	129599
270	48138	129493
271	48335	129368
272	48514	129194
273	48707	129057
274	48907	128938
275	49079	128744
276	49278	128621
277	49432	128381
278	49632	128261
279	49825	128123
280	50032	128018
281	50227	127884
282	50462	127849
283	50628	127641
284	50834	127531
285	51014	127356
286	51201	127200
287	51407	127089
288	51584	126908
289	51752	126704
290	51942	126553
291	52112	126354
292	52310	126223
293	52513	126103
294	52698	125941
295	52846	125689
296	53044	125556
297	53224	125380
