factor,coverage,n_triggered,precision_lift,mean_outperform,effect_d,auc_upset,roi_tansho,roi_fukusho,chi2_p,category,description,expected_dir
F014_start_idx_unpop,0.09492599229586149,13455,1.1983089033322651,0.17212931995540692,0.028418620490851854,0.510535600941071,29.252322556670386,31.64028242289112,7.544963471408496e-17,C_スタート不利,スタート指数上位×人気薄,1
F021_furi_unpop,0.010561442621100309,1497,1.3094867165069506,1.062124248496994,0.2474183209945107,0.5018293517121176,22.859051436205746,30.90180360721443,3.84597366602803e-05,C_スタート不利,前走不利あり×人気薄,1
F021_prev1_furi,0.016332491428087653,2315,1.1263423457621538,0.0591792656587473,-0.002108740627765288,0.501154870609016,24.99352051835853,30.04319654427646,0.03721465006752968,C_スタート不利,前走不利あり,1
F024_prev1_ato_furi,0.01042739625516784,1478,1.250168072975728,-0.2814614343707713,-0.08680650004586941,0.5014599558234941,27.949932341001354,26.04871447902571,0.0009752458665449008,C_スタート不利,前走後半不利,1
F025_furi_twice,0.000345698522667946,49,1.5313360918745476,-0.16326530612244897,-0.05683237548590123,0.5001028013444755,5.918367346938775,20.408163265306122,0.2920600875230623,C_スタート不利,近2走で不利2回,1
F026_furi_underperf,0.003555756233156016,504,1.1352092208861664,-0.628968253968254,-0.1720319717819498,0.5002690730763903,24.682539682539684,29.642857142857142,0.32798199966637287,C_スタート不利,前走不利×着順大幅悪化,1
F029_furi_good_agari,0.0050020459708484425,709,1.005411778233571,-0.18194640338504936,-0.06171898056309617,0.5000151502438901,28.589562764456982,27.277856135401972,1.0,C_スタート不利,前走不利×上がり優秀,1
F033_race_low_soten_hi,0.8122574819037406,115131,1.023150203805632,0.03337068209257281,-0.04488318053086789,0.5105239916068318,25.92047320009381,26.616897273540573,4.0603323841887823e-10,C_スタート不利,前走展開負け(素点>レース評価),1
F042_ten_top_unpop,0.12505114927121108,17725,1.3504267673958283,-0.006262341325811002,-0.020776500287850046,0.5245254459926204,33.89393511988716,29.221438645980253,1.9714626115316487e-66,D_タイム,前走テン上位×人気薄,1
F044_prev1_bad_good_ag,0.06421526435354376,9102,1.0603644403483652,1.0023071852340144,0.24623828844760576,0.5021694588014326,23.33443199296858,28.211382113821138,0.04144335973932043,D_タイム,前走凡走×上がり優秀,1
F046_improving_trend,0.20799762949584455,29482,1.1398992760079825,0.0980937521199376,0.009471814124408366,0.5162856765982284,24.956583678176514,26.930669561088123,1.2327982084790943e-20,D_タイム,着順改善傾向(2走前→前走),1
F048_slow_start_fast_f,0.053075305837366485,7523,1.002401247432701,-0.940582214542071,-0.262450897420148,0.5000713282177849,30.563604944835838,29.561345208028712,0.9563431798689475,D_タイム,前走前半遅×後半速(差し損ね),1
F057_turf_apt_unpop,0.042358651634660155,6004,1.2044542433154675,0.7861425716189208,0.18476303284433793,0.5048469686364451,33.24783477681545,27.065289806795466,2.5305432606531838e-08,E_適性,芝適性◎×人気薄,1
F058_dirt_apt_unpop,0.01852661878624543,2626,1.2536866643255116,0.9931454683929931,0.23216573122744893,0.5026304239932038,36.8012185833968,34.98476770753998,6.756436414602105e-06,E_適性,ダート適性◎×人気薄,1
F059_sire_turf_unpop,0.06915381467737156,9802,1.2305602490994534,0.40012242399510306,0.08792449488027543,0.50892344453002,27.4617425015303,26.707814731687414,3.454363012682188e-16,E_適性,父馬芝連対率高×芝×人気薄,1
F061_sire_dirt_unpop,0.05344922464759916,7576,1.2429977952722453,0.3786958817317846,0.08088728508293178,0.5072690172035952,35.13595564941922,29.190865892291445,6.83914466579665e-14,E_適性,父馬ダ連対率高×ダート×人気薄,1
