factor,lr_weight,lr_abs_weight,direction_ok
F225_chk_top_unpop,0.8695303716900438,0.8695303716900438,Yes
F216_workout_overval,-0.6539130010255382,0.6539130010255382,Yes
F221_training_mark,0.3995967150939759,0.3995967150939759,Yes
F236_odds_up_overval,-0.3194216325973069,0.3194216325973069,Yes
F237_pop_rank_drop,0.31865428578999766,0.31865428578999766,Yes
F383_avg_finish_unpop,0.2894262917027808,0.2894262917027808,Yes
F241_sogo_mark_unpop,0.27837799038383265,0.27837799038383265,Yes
F384_good_form_overval,-0.252297425918642,0.252297425918642,Yes
F126_agari_rank_unpop,0.23886887220139955,0.23886887220139955,Yes
F295_prize_top_unpop,0.22889201297699416,0.22889201297699416,Yes
F141_jt_combo_unpop,0.2230743152581834,0.2230743152581834,Yes
F165_stable_mark_unpop,0.19864436926980605,0.19864436926980605,Yes
F244_longshot_mark,0.19437311464845425,0.19437311464845425,Yes
F163_stable_idx_unpop,0.1879896546298018,0.1879896546298018,Yes
F042_ten_top_unpop,0.1826038667196444,0.1826038667196444,Yes
F116_hpace_good_hpred,0.1704607291402611,0.1704607291402611,Yes
F145_jidx_top_unpop,0.16124797713899044,0.16124797713899044,Yes
F253_odds_down,0.14345947294750008,0.14345947294750008,Yes
F240_idm_mark_unpop,0.14320632570473676,0.14320632570473676,Yes
F348_ten1_unpop,0.1417584608888288,0.1417584608888288,Yes
F245_gekiso_unpop,0.13640850110917924,0.13640850110917924,Yes
F217_fitness_top3,0.1342853920284656,0.1342853920284656,Yes
F243_upset_mark,0.1261353893887869,0.1261353893887869,Yes
F063_surface_pr_high,-0.09137387941496554,0.09137387941496554,REVERSED
F349_pace1_unpop,0.08773963641394127,0.08773963641394127,Yes
F112_nige_hpace_bad,-0.08730645967620111,0.08730645967620111,Yes
F094_td_pr_high,-0.08695492147531426,0.08695492147531426,REVERSED
F278_improvement_high,0.08071706545943698,0.08071706545943698,Yes
F367_alternating,0.0801087550149752,0.0801087550149752,Yes
F345_cid_top_unpop,0.07924301008033482,0.07924301008033482,Yes
F046_improving_trend,0.07273239677203293,0.07273239677203293,Yes
F156_jtd_pr_top,-0.07016878607141605,0.07016878607141605,REVERSED
F336_idm1_unpop,0.06688427798873375,0.06688427798873375,Yes
F111_oikomi_hpace,-0.05175675637948678,0.05175675637948678,REVERSED
F370_agari_top_outside,0.03791079988165954,0.03791079988165954,Yes
F138_top_jockey_unpop,0.035513375506954825,0.035513375506954825,Yes
F061_sire_dirt_unpop,0.03518985503389894,0.03518985503389894,Yes
F347_agari1_unpop,0.034752967515850254,0.034752967515850254,Yes
F246_manken_top3,-0.024728004196027276,0.024728004196027276,REVERSED
F081_dist_apt_unpop,-0.02040336467833401,0.02040336467833401,REVERSED
F021_prev1_furi,0.018160306509398226,0.018160306509398226,Yes
F111_sashi_space_bad,-0.01720133034923269,0.01720133034923269,Yes
F044_prev1_bad_good_ag,0.010858898747503133,0.010858898747503133,Yes
F201_weight_gain,0.0034771328711317726,0.0034771328711317726,REVERSED
F112_nige_space,-0.0027192333478867157,0.0027192333478867157,REVERSED
F143_jexp_wr_unpop,4.5678271628984366e-07,4.5678271628984366e-07,Yes
F219_fitness_improved,0.0,0.0,Zero
F058_dirt_apt_unpop,0.0,0.0,Zero
F024_prev1_ato_furi,0.0,0.0,Zero
F025_furi_twice,0.0,0.0,Zero
F026_furi_underperf,0.0,0.0,Zero
F361_prev_fav1_flop,0.0,0.0,Zero
F029_furi_good_agari,0.0,0.0,Zero
F033_race_low_soten_hi,0.0,0.0,Zero
F048_slow_start_fast_f,0.0,0.0,Zero
F057_turf_apt_unpop,0.0,0.0,Zero
F337_idm_top25_unpop,0.0,0.0,Zero
F306_season_pr_high,0.0,0.0,Zero
F021_furi_unpop,0.0,0.0,Zero
F059_sire_turf_unpop,0.0,0.0,Zero
F284_prev_higher_grade,0.0,0.0,Zero
F281_tataki_2,0.0,0.0,Zero
F255_prev_fav_flop,0.0,0.0,Zero
F254_fuku_low_tan_high,0.0,0.0,Zero
F114_pace_press_sashi,0.0,0.0,Zero
F251_low_pop_high_sogo,0.0,0.0,Zero
F119_mid_back_3f_top,0.0,0.0,Zero
F014_start_idx_unpop,0.0,0.0,Zero
