factor,auc_2023,auc_2024,auc_2025,auc_std,stable
F014_start_idx_unpop,0.51216525392986,0.5087982127133565,0.5106973270482591,0.0013783408359486656,True
F021_furi_unpop,0.5026367588617127,0.5010889247348648,0.5017239372202933,0.0006352842487097702,True
F021_prev1_furi,0.5017168635838637,0.5002808680417169,0.5014212245508729,0.0006191300889032096,True
F024_prev1_ato_furi,0.5021578684378974,0.5014052942697843,0.5007614975469284,0.0005706423051669926,True
F025_furi_twice,0.5000948784853262,0.4999694250610353,0.5002427947513423,0.0001117282273082316,True
F026_furi_underperf,0.5005990747144393,0.5001067199127829,0.500086513376299,0.0002370046132197696,True
F029_furi_good_agari,0.5007936222349384,0.49971360408507515,0.49949248883865893,0.0005684559272611954,True
F033_race_low_soten_hi,0.5093132860158657,0.5077330590169854,0.5145508098752192,0.0029137699960748577,True
F042_ten_top_unpop,0.525244296100741,0.5255515202896573,0.5226028625387464,0.0013235533191078828,True
F044_prev1_bad_good_ag,0.5040531342922039,0.5015091070184132,0.5007875280139468,0.0014006718782256621,True
F046_improving_trend,0.5134812106589808,0.5166561164385342,0.5188123533907935,0.0021896338438268884,True
F048_slow_start_fast_f,0.5002650161430559,0.5007664922948977,0.4990518125302451,0.0007198354775234002,True
F057_turf_apt_unpop,0.5052015314839324,0.503995044866539,0.5053346950182297,0.0006025874776274612,True
F058_dirt_apt_unpop,0.5012057009444769,0.5022851707014822,0.5044613460427343,0.001354015389620816,True
F059_sire_turf_unpop,0.5125162622711213,0.5069129712096432,0.5072608534088733,0.0025633574999636235,True
F061_sire_dirt_unpop,0.5042155924425455,0.5086925628642525,0.5090794350703455,0.002207308551373258,True
F063_surface_pr_high,0.5011398034572704,0.49968604284315277,0.5104944182715943,0.004789377338904006,True
F081_dist_apt_unpop,0.5231431097411844,0.5208623118572373,0.5246591924982247,0.0015605144634424288,True
F094_td_pr_high,0.5006761074873587,0.5003781491405893,0.5004695389440983,0.00012463361222206208,True
F111_oikomi_hpace,0.4961616907847082,0.4915704431631795,0.49773343320774976,0.0026147524900085603,True
F111_sashi_space_bad,0.4989952095964294,0.49948975954741115,0.4986118478703246,0.00035936282807569493,True
F112_nige_hpace_bad,0.5017841324116755,0.5001325505871184,0.4994215692195485,0.0009896644697984195,True
F112_nige_space,0.4995190799920894,0.4996480958283122,0.498568716201505,0.00048130572395615947,True
F114_pace_press_sashi,0.48917781877415756,0.48939275467648136,0.489986701790046,0.00034209523515020914,True
F116_hpace_good_hpred,0.5217809296914037,0.5252190193080397,0.5327881921550948,0.0045979785986791,True
F119_mid_back_3f_top,0.5002924246706149,0.49992512395125244,0.4994449358131527,0.00034700749750759874,True
F126_agari_rank_unpop,0.5402095532779356,0.5367148601883205,0.531211335368007,0.0037038957087695014,True
F138_top_jockey_unpop,0.5047177590875633,0.5014689725282646,0.5090335217214353,0.003098437342986262,True
F141_jt_combo_unpop,0.5370124829295522,0.5325858750723192,0.5241426655198227,0.005338693606625973,True
F143_jexp_wr_unpop,0.5067816449826634,0.5046170146450619,0.5039798220724897,0.0011991594506607236,True
F145_jidx_top_unpop,0.5090632266276752,0.5070375602389033,0.508002754175838,0.0008272797105642366,True
F156_jtd_pr_top,0.49618714286633736,0.4927045118013441,0.4893073082838193,0.002808752881759892,True
F163_stable_idx_unpop,0.5373356073451783,0.5346391899629315,0.5255623585839042,0.005036190369906136,True
F165_stable_mark_unpop,0.5719505297836164,0.5711798688787527,0.5649878894736802,0.003116495312021652,True
F201_weight_gain,0.5000055950696685,0.4986381687812766,0.4975881078535989,0.0009897657997885807,True
F216_workout_overval,0.5140413941538616,0.5103407308129628,0.5113585446672909,0.0015609304765045761,True
F217_fitness_top3,0.5162442059945211,0.5104324722016396,0.5134297086511068,0.002373021311638699,True
F219_fitness_improved,,,,,False
F221_training_mark,0.5899480587375533,0.585329358782238,0.5885040687060076,0.0019291990159566695,True
F225_chk_top_unpop,0.5415617682526532,0.5340162661232082,0.5347646275501058,0.0033943706492589416,True
F236_odds_up_overval,0.4421505633979173,0.4459004260103428,0.44773328895467684,0.002323495470834012,True
F237_pop_rank_drop,0.5030698465093202,0.5003882839693703,0.5062500456801398,0.0023959385721950147,True
F240_idm_mark_unpop,0.5763464809425345,0.5729832883893963,0.5700748851360864,0.0025626112462097273,True
F241_sogo_mark_unpop,0.5980855207495901,0.5900742720782924,0.5890291186368046,0.004045448336890999,True
F243_upset_mark,0.5700438909445589,0.5692419740868077,0.5628281805494542,0.0032291432419376655,True
F244_longshot_mark,0.575438342624806,0.5729500288216444,0.5709995040579351,0.0018165761524725598,True
F245_gekiso_unpop,0.5431576978796954,0.5406223563271899,0.5340407271624306,0.0038422353781466497,True
F246_manken_top3,0.5597774500700371,0.5576805420908507,0.5482631785760722,0.0050073524461467815,True
F251_low_pop_high_sogo,0.5150836678673028,0.5133811818146902,0.5165633806650105,0.0013001879456456618,True
F253_odds_down,0.5307061080315068,0.5271352547800786,0.5283995905328439,0.0014783459529936157,True
F254_fuku_low_tan_high,0.4999326031803985,0.5001572496454396,0.499951189568541,0.00010180168268152596,True
F255_prev_fav_flop,0.5048025079369538,0.5037577771849393,0.5031536702982538,0.000681099848573341,True
F278_improvement_high,0.5027650249196358,0.5035925328380763,0.5075643378322341,0.002094792715805639,True
F281_tataki_2,0.5101351578672677,0.5092328006108113,0.5110512014742279,0.0007423660528791397,True
F284_prev_higher_grade,0.4987603995157668,0.5006559324633381,0.49886996229801683,0.0008688906458493276,True
F295_prize_top_unpop,0.5405850263355907,0.5407811234744396,0.5378280122542023,0.0013482682972337475,True
F306_season_pr_high,0.5061419603017739,0.5030747522243878,0.5115269601299893,0.0034935783473137535,True
F336_idm1_unpop,0.5044913598959448,0.5044154804616221,0.5043719403923222,4.934509323039048e-05,True
F337_idm_top25_unpop,0.5285074284972038,0.5275954342447194,0.5300347279656316,0.0010063427204876037,True
F345_cid_top_unpop,0.5290431655602325,0.5280365750985083,0.5192566528555569,0.004395402773462842,True
F347_agari1_unpop,0.5114154963097407,0.5123953027916579,0.5095907809592098,0.0011621316410969273,True
F348_ten1_unpop,0.5115876452670245,0.5155359373216166,0.5109474137924402,0.0020290516303383627,True
F349_pace1_unpop,0.5131740120789143,0.5114156358197169,0.5120403568167078,0.0007278077925843732,True
